Type(类型)	Name（视图名/表名）	Description（描述）
View	        USER_FILE_GROUP_EXPORT_INF	
View	        USER_FILE_GROUP_FILES	
View	        USER_FILE_GROUP_TABLES	
View	        USER_FILE_GROUP_TABLESPACE	
View	        USER_FILE_GROUP_VERSIONS	
View	        USER_FLASHBACK_ARCHIVE	
View	        USER_FLASHBACK_ARCHIVE_TAB	
View	        USER_FLASHBACK_TXN_REPORT	
View	        USER_FLASHBACK_TXN_STATE	
View	        USER_FREE_SPACE	
View	        USER_IDENTIFIERS	
View	        USER_INDEXES	
View	        USER_INDEXTYPES	
View	        USER_INDEXTYPE_ARRAYTYPES	
View	        USER_INDEXTYPE_COMMENTS	
View	        USER_INDEXTYPE_OPERATORS	
View	        USER_IND_COLUMNS	
View	        USER_IND_EXPRESSIONS	
View	        USER_IND_PARTITIONS	
View	        USER_IND_PENDING_STATS	
View	        USER_IND_STATISTICS	
View	        USER_IND_SUBPARTITIONS	
View	        USER_INTERNAL_TRIGGERS	
View	        USER_JAVA_ARGUMENTS	
View	        USER_JAVA_CLASSES	
View	        USER_JAVA_COMPILER_OPTIONS	
View	        USER_JAVA_DERIVATIONS	
View	        USER_JAVA_FIELDS	
View	        USER_JAVA_IMPLEMENTS	
View	        USER_JAVA_INNERS	
View	        USER_JAVA_LAYOUTS	
View	        USER_JAVA_METHODS	
View	        USER_JAVA_NCOMPS	
View	        USER_JAVA_POLICY	
View	        USER_JAVA_RESOLVERS	
View	        USER_JAVA_THROWS	
View	        USER_JOBS	
View	        USER_JOIN_IND_COLUMNS	
View	        USER_LIBRARIES	
View	        USER_LOBS	
View	        USER_LOB_PARTITIONS	
View	        USER_LOB_SUBPARTITIONS	
View	        USER_LOB_TEMPLATES	
View	        USER_LOG_GROUPS	
View	        USER_LOG_GROUP_COLUMNS	
View	        USER_MEASURE_FOLDERS	
View	        USER_MEASURE_FOLDER_CONTEN	
View	        USER_METHOD_PARAMS	
View	        USER_METHOD_RESULTS	
View	        USER_MINING_MODELS	
View	        USER_MINING_MODEL_ATTRIBUT	
View	        USER_MINING_MODEL_SETTINGS	
View	        USER_MVIEWS	
View	        USER_MVIEW_AGGREGATES	
View	        USER_MVIEW_ANALYSIS	
View	        USER_MVIEW_COMMENTS	
View	        USER_MVIEW_DETAIL_PARTITIO	
View	        USER_MVIEW_DETAIL_RELATION	
View	        USER_MVIEW_DETAIL_SUBPARTI	
View	        USER_MVIEW_JOINS	
View	        USER_MVIEW_KEYS	
View	        USER_MVIEW_LOGS	
View	        USER_MVIEW_REFRESH_TIMES	
View	        USER_NESTED_TABLES	
View	        USER_NESTED_TABLE_COLS	
View	        USER_NETWORK_ACL_PRIVILEGE	
View	        USER_OBJECTS	
View	        USER_OBJECTS_AE	
View	        USER_OBJECT_SIZE	
View	        USER_OBJECT_TABLES	
View	        USER_OBJ_AUDIT_OPTS	
View	        USER_OBJ_COLATTRS	
View	        USER_OLDIMAGE_COLUMNS	
View	        USER_OPANCILLARY	
View	        USER_OPARGUMENTS	
View	        USER_OPBINDINGS	
View	        USER_OPERATORS	
View	        USER_OPERATOR_COMMENTS	
View	        USER_OUTLINES	
View	        USER_OUTLINE_HINTS	
View	        USER_PARALLEL_EXECUTE_CHUN	
View	        USER_PARALLEL_EXECUTE_TASK	
View	        USER_PARTIAL_DROP_TABS	
View	        USER_PART_COL_STATISTICS	
View	        USER_PART_HISTOGRAMS	
View	        USER_PART_INDEXES	
View	        USER_PART_KEY_COLUMNS	
View	        USER_PART_LOBS	
View	        USER_PART_TABLES	
View	        USER_PASSWORD_LIMITS	
View	        USER_PENDING_CONV_TABLES	
View	        USER_PLSQL_OBJECT_SETTINGS	
View	        USER_POLICIES	
View	        USER_POLICY_CONTEXTS	
View	        USER_POLICY_GROUPS	
View	        USER_PROCEDURES	
View	        USER_PROXIES	
View	        USER_PUBLISHED_COLUMNS	
View	        USER_QUEUES	
View	        USER_QUEUE_PUBLISHERS	
View	        USER_QUEUE_SCHEDULES	
View	        USER_QUEUE_SUBSCRIBERS	
View	        USER_QUEUE_TABLES	
View	        USER_RECYCLEBIN	
View	        USER_REFRESH	
View	        USER_REFRESH_CHILDREN	
View	        USER_REFS	
View	        USER_REGISTERED_MVIEWS	
View	        USER_REGISTERED_SNAPSHOTS	
View	        USER_REGISTRY	
View	        USER_REPAUDIT_ATTRIBUTE	
View	        USER_REPAUDIT_COLUMN	
View	        USER_REPCAT	
View	        USER_REPCATLOG	
View	        USER_REPCAT_REFRESH_TEMPLA	
View	        USER_REPCAT_TEMPLATE_OBJEC	
View	        USER_REPCAT_TEMPLATE_PARMS	
View	        USER_REPCAT_TEMPLATE_SITES	
View	        USER_REPCAT_USER_AUTHORIZA	
View	        USER_REPCAT_USER_PARM_VALU	
View	        USER_REPCOLUMN	
View	        USER_REPCOLUMN_GROUP	
View	        USER_REPCONFLICT	
View	        USER_REPDDL	
View	        USER_REPFLAVORS	
View	        USER_REPFLAVOR_COLUMNS	
View	        USER_REPFLAVOR_OBJECTS	
View	        USER_REPGENERATED	
View	        USER_REPGENOBJECTS	
View	        USER_REPGROUP	
View	        USER_REPGROUPED_COLUMN	
View	        USER_REPGROUP_PRIVILEGES	
View	        USER_REPKEY_COLUMNS	
View	        USER_REPOBJECT	
View	        USER_REPPARAMETER_COLUMN	
View	        USER_REPPRIORITY	
View	        USER_REPPRIORITY_GROUP	
View	        USER_REPPROP	
View	        USER_REPRESOLUTION	
View	        USER_REPRESOLUTION_METHOD	
View	        USER_REPRESOLUTION_STATIST	
View	        USER_REPRESOL_STATS_CONTRO	
View	        USER_REPSCHEMA	
View	        USER_REPSITES	
View	        USER_RESOURCE_LIMITS	
View	        USER_RESUMABLE	
View	        USER_REWRITE_EQUIVALENCES	
View	        USER_ROLE_PRIVS	
View	        USER_RSRC_CONSUMER_GROUP_P	
View	        USER_RSRC_MANAGER_SYSTEM_P	
View	        USER_RULES	
View	        USER_RULESETS	
View	        USER_RULE_SETS	
View	        USER_RULE_SET_RULES	
View	        USER_SCHEDULER_CHAINS	
View	        USER_SCHEDULER_CHAIN_RULES	
View	        USER_SCHEDULER_CHAIN_STEPS	
View	        USER_SCHEDULER_CREDENTIALS	
View	        USER_SCHEDULER_DB_DESTS	
View	        USER_SCHEDULER_DESTS	
View	        USER_SCHEDULER_FILE_WATCHE	
View	        USER_SCHEDULER_GROUPS	
View	        USER_SCHEDULER_GROUP_MEMBE	
View	        USER_SCHEDULER_JOBS	
View	        USER_SCHEDULER_JOB_ARGS	
View	        USER_SCHEDULER_JOB_DESTS	
View	        USER_SCHEDULER_JOB_LOG	
View	        USER_SCHEDULER_JOB_RUN_DET	
View	        USER_SCHEDULER_NOTIFICATIO	
View	        USER_SCHEDULER_PROGRAMS	
View	        USER_SCHEDULER_PROGRAM_ARG	
View	        USER_SCHEDULER_REMOTE_JOBS	
View	        USER_SCHEDULER_RUNNING_CHA	
View	        USER_SCHEDULER_RUNNING_JOB	
View	        USER_SCHEDULER_SCHEDULES	
View	        USER_SECONDARY_OBJECTS	
View	        USER_SEC_RELEVANT_COLS	
View	        USER_SEGMENTS	
View	        USER_SEQUENCES	
View	        USER_SNAPSHOTS	
View	        USER_SNAPSHOT_LOGS	
View	        USER_SOURCE	
View	        USER_SOURCE_AE	
View	        USER_SOURCE_TABLES	
View	        USER_SQLJ_TYPES	
